Ethnicity Populations,Illinois
Total:,"12,812,508"
    Population of one race:,"11,667,524"
        White alone,"7,868,227"
        Black or African American alone,"1,808,271"
        American Indian and Alaska Native alone,"96,498"
        Asian alone,"754,878"
        Native Hawaiian and Other Pacific Islander alone,"4,501"
        Some Other Race alone,"1,135,149"
    Population of two or more races:,"1,144,984"
        Population of two races:,"1,087,260"
            White; Black or African American,"111,307"
            White; American Indian and Alaska Native,"107,871"
            White; Asian,"90,923"
            White; Native Hawaiian and Other Pacific Islander,"3,101"
            White; Some Other Race,"697,568"
            Black or African American; American Indian and Alaska Native,"12,187"
            Black or African American; Asian,"6,283"
            Black or African American; Native Hawaiian and Other Pacific Islander,716
            Black or African American; Some Other Race,"23,028"
            American Indian and Alaska Native; Asian,"1,470"
            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,168
            American Indian and Alaska Native; Some Other Race,"23,158"
            Asian; Native Hawaiian and Other Pacific Islander,"2,673"
            Asian; Some Other Race,"5,233"
            Native Hawaiian and Other Pacific Islander; Some Other Race,"1,574"
        Population of three races:,"51,574"
            White; Black or African American; American Indian and Alaska Native,"11,661"
            White; Black or African American; Asian,"2,761"
            White; Black or African American; Native Hawaiian and Other Pacific Islander,286
            White; Black or African American; Some Other Race,"8,170"
            White; American Indian and Alaska Native; Asian,"2,026"
            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,187
            White; American Indian and Alaska Native; Some Other Race,"18,641"
            White; Asian; Native Hawaiian and Other Pacific Islander,"1,694"
            White; Asian; Some Other Race,"3,603"
            White; Native Hawaiian and Other Pacific Islander; Some Other Race,255
            Black or African American; American Indian and Alaska Native; Asian,391
            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,103
            Black or African American; American Indian and Alaska Native; Some Other Race,904
            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,227
            Black or African American; Asian; Some Other Race,286
            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,76
            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,27
            American Indian and Alaska Native; Asian; Some Other Race,113
            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,43
            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,120
        Population of four races:,"5,396"
            White; Black or African American; American Indian and Alaska Native; Asian,963
            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,122
            White; Black or African American; American Indian and Alaska Native; Some Other Race,"3,171"
            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,117
            White; Black or African American; Asian; Some Other Race,294
            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,16
            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,136
            White; American Indian and Alaska Native; Asian; Some Other Race,296
            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,12
            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,130
            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,33
            Black or African American; American Indian and Alaska Native; Asian; Some Other Race,34
            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,14
            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,42
            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,16
        Population of five races:,670
            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,301
            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,301
            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,35
            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,14
            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,4
            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,15
        Population of six races:,84
            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,84
